Store_ID	Customer_ID	Customer_Name	Sales	Collection	Customer_Satisfaction_Score	Risk_Score
343	211	A	4006	1401	51	34
343	195	B	1370	650	61	34
343	237	C	2021	587	60	37
343	154	D	3464	2659	61	39
343	167	E	2635	931	42	31
344	99	F	4182	1154	74	23
344	106	G	4575	994	23	29
344	238	H	4139	2189	18	31
344	176	I	1425	720	48	22
344	239	J	3016	1460	60	24
345	191	K	3112	939	39	40
345	107	L	4104	762	66	31
345	187	M	4584	2823	71	31
345	156	N	3766	2683	72	37
345	168	O	3607	884	22	38
346	32	P	2340	894	41	27
346	116	Q	4932	2830	8	20
346	126	R	4207	950	46	26
346	188	S	2188	1116	24	22
346	134	T	1923	1216	8	39
347	197	Q	2703	1010	15	26
347	117	U	4767	2140	28	20
347	176	V	3670	1303	50	40
347	187	W	1527	893	14	26
347	126	X	4942	1063	77	33
